ipa,external_version_id,bundle_id,app_version,app_build,build_timestamp,release_channel,sentry_release,bundle_member,hbc_version,react_renderer,rn_guess,confidence,has_virtual_view_mode_export,has_react_native_version_export,has_unstable_enable_logbox_export,has_experimental_layout_conformance_export,has_register_callable_module_export,has_dev_menu_export,has_set_up_dom,has_use_animated_value_export,has_segmented_control_ios_export,has_date_picker_android_export,has_picker_ios_export,has_status_bar_ios_export,has_root_tag_context_export,has_unstable_root_tag_context_export,has_platform_color_export,has_dynamic_color_ios_export,has_pressable_export,has_color_android_export,has_check_box_export,has_tv_event_handler_export,has_use_window_dimensions_export,has_native_dialog_manager_android_export,has_turbo_module_registry_export,has_virtualized_section_list_export,has_app_registry_marker,has_batched_bridge_marker,has_native_modules_marker,has_style_sheet_marker,cryptid,notes
ipas/uber-eats/uber-eats_001_814482031_814482031.ipa,814482031,com.ubercab.UberEats,1.9.2,1.9.2,2015-12-05T14:41:14,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_002_819763331_819763331.ipa,819763331,com.ubercab.UberEats,1.61.1,1.61.1,2016-11-18T14:24:02,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_003_825734304_825734304.ipa,825734304,com.ubercab.UberEats,1.121.10002,1.121.10002,2018-01-25T13:23:16,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_004_830475334_830475334.ipa,830475334,com.ubercab.UberEats,1.178.10002,1.178.10002,2019-03-01T18:38:58,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_005_834678875_834678875.ipa,834678875,com.ubercab.UberEats,1.228.10001,1.228.10001,2020-02-11T20:21:30,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_006_839453042_839453042.ipa,839453042,com.ubercab.UberEats,1.270.10007,1.270.10007,2020-12-05T05:03:00,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_007_844340326_844340326.ipa,844340326,com.ubercab.UberEats,6.79.10004,6.79.10004,2021-09-29T21:02:56,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_008_851791131_851791131.ipa,851791131,com.ubercab.UberEats,6.127.10003,6.127.10003,2022-08-25T08:07:00,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_009_859897772_859897772.ipa,859897772,com.ubercab.UberEats,6.182.10003,6.182.10003,2023-09-14T18:30:02,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_010_869096326_869096326.ipa,869096326,com.ubercab.UberEats,6.235.10002,6.235.10002,2024-09-20T20:43:28,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_011_876620596_876620596.ipa,876620596,com.ubercab.UberEats,6.281.10000,6.281.10000,2025-07-22T00:36:22,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
ipas/uber-eats/uber-eats_012_885646390_885646390.ipa,885646390,com.ubercab.UberEats,6.323.10001,6.323.10001,2026-05-13T23:18:38,,,,,,unknown,low,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,1,No JS bundle was found in the app bundle. Native executable is FairPlay encrypted; exact native RN constants are not inspectable.
